Chain,RecordTime,Delay
Chain2,13577,177
Chain1,13636,276
Chain4,13646,326
Chain2,13652,152
Chain1,13668,228
Chain3,13735,295
Chain1,13755,235
Chain4,13758,318
Chain2,13768,168
Chain1,13828,228
Chain3,13859,259
Chain2,13868,168
Chain4,13889,329
Chain1,13933,253
Chain2,13950,150
Chain3,13958,198
Chain1,13996,236
Chain4,14033,353
Chain2,14039,139
Chain1,14066,226
Chain4,14097,297
Chain1,14134,214
Chain2,14152,152
Chain3,14160,240
Chain1,14234,234
Chain4,14237,317
Chain2,14248,148
Chain3,14256,176
Chain1,14300,220
Chain2,14341,141
Chain4,14344,304
Chain1,14384,224
Chain3,14392,152
Chain2,14399,99
Chain1,14449,209
Chain2,14492,92
Chain4,14555,395
Chain3,14579,179
Chain1,14603,283
Chain1,14674,274
Chain2,14692,192
Chain1,14751,271
Chain4,14754,474
Chain2,14795,195
Chain1,14827,267
Chain3,14854,294
Chain4,14856,456
Chain2,14863,163
Chain1,14879,239
Chain1,14955,235
Chain4,14971,451
Chain2,14978,178
Chain3,14986,266
Chain1,15051,251
Chain2,15086,186
Chain4,15089,449
Chain1,15126,246
Chain3,15158,278
Chain2,15165,165
Chain1,15199,239
Chain4,15233,473
Chain2,15239,139
Chain1,15266,226
Chain3,15326,286
Chain4,15329,449
Chain1,15345,225
Chain2,15352,152
Chain3,15399,199
Chain1,15436,236
Chain4,15452,452
Chain2,15458,158
Chain1,15524,244
Chain2,15537,137
Chain4,15544,424
Chain3,15570,210
Chain1,15586,226
Chain2,15621,121
Chain1,15660,220
Chain3,15668,148
Chain4,15693,453
Chain1,15730,210
Chain2,15758,158
Chain4,15787,427
Chain1,15818,218
Chain2,15825,125
Chain3,15839,159
Chain1,15888,208
Chain4,15918,438
Chain2,15925,125
Chain3,15974,134
Chain1,15990,230
Chain2,15997,97
Chain4,16000,400
Chain1,16048,208
Chain2,16104,104
Chain1,16177,257
Chain3,16200,200
Chain4,16203,483
Chain1,16272,272
Chain2,16292,192
Chain4,16333,493
Chain1,16364,284
Chain2,16395,195
Chain1,16427,267
Chain4,16459,499
Chain3,16467,307
Chain2,16473,173
Chain1,16494,254
Chain4,16535,455
Chain1,16558,238
Chain2,16627,227
Chain3,16635,315
Chain1,16655,255
Chain4,16658,458
Chain2,16671,171
Chain1,16736,256
Chain3,16758,278
Chain4,16760,440
Chain2,16767,167
Chain1,16826,266
Chain2,16840,140
Chain1,16866,226
Chain3,16926,286
Chain4,16929,489
Chain1,16955,235
Chain2,16966,166
Chain4,16993,433
Chain1,17028,228
Chain3,17062,262
Chain2,17069,169
Chain1,17123,243
Chain4,17126,446
Chain2,17144,144
Chain3,17180,220
Chain1,17196,236
Chain2,17235,135
Chain4,17237,437
Chain1,17256,216
Chain3,17301,181
Chain2,17326,126
Chain1,17346,226
Chain4,17360,440
Chain1,17424,224
Chain2,17431,131
Chain3,17446,166
Chain4,17474,434
Chain1,17490,210
Chain2,17528,128
Chain1,17582,222
Chain3,17590,150
Chain4,17593,433
Chain2,17599,99
Chain1,17649,209
Chain2,17704,104
Chain3,17777,177
Chain4,17779,499
Chain1,17795,275
Chain1,17859,259
Chain2,17902,202
Chain4,17905,505
Chain1,17971,291
Chain4,17974,454
Chain3,17981,221
Chain2,18021,221
Chain1,18053,293
Chain2,18073,173
Chain1,18094,254
Chain4,18135,495
Chain1,18171,251
Chain2,18227,227
Chain3,18235,315
Chain4,18238,478
Chain1,18268,268
Chain2,18282,182
Chain1,18339,259
Chain4,18352,472
Chain3,18360,280
Chain2,18377,177
Chain1,18436,276
Chain4,18446,446
Chain2,18452,152
Chain1,18469,229
Chain3,18539,299
Chain1,18555,235
Chain4,18558,438
Chain2,18569,169
Chain1,18628,228
Chain3,18660,260
Chain2,18669,169
Chain4,18689,449
Chain1,18733,253
Chain2,18750,150
Chain3,18762,202
Chain1,18796,236
Chain4,18833,473
Chain2,18840,140
Chain1,18866,226
Chain4,18898,418
Chain1,18935,215
Chain2,18952,152
Chain3,18960,240
Chain1,19035,235
Chain4,19037,437
Chain2,19048,148
Chain3,19056,176
Chain1,19101,221
Chain2,19142,142
Chain4,19144,424
Chain1,19185,225
Chain2,19192,92
Chain3,19200,160
Chain1,19249,209
Chain2,19291,91
Chain4,19355,515
Chain3,19367,167
Chain1,19402,282
Chain1,19462,262
Chain2,19492,192
Chain1,19551,271
Chain4,19554,594
Chain2,19596,196
Chain1,19627,267
Chain3,19654,294
Chain4,19657,577
Chain2,19663,163
Chain1,19679,239
Chain1,19755,235
Chain4,19772,572
Chain2,19778,178
Chain3,19786,266
Chain1,19851,251
Chain2,19869,169
Chain4,19889,569
Chain1,19926,246
Chain3,19958,278
Chain2,19965,165
Chain1,19999,239
Chain4,20033,593
Chain2,20040,140
Chain1,20066,226
Chain3,20120,280
Chain4,20129,569
Chain1,20145,225
Chain2,20152,152
Chain3,20199,199
Chain1,20236,236
Chain4,20252,572
Chain2,20259,159
Chain1,20321,241
Chain2,20337,137
Chain4,20344,544
Chain3,20352,192
Chain1,20386,226
Chain2,20419,119
Chain1,20460,220
Chain3,20490,170
Chain4,20493,573
Chain2,20500,100
Chain1,20543,223
Chain4,20581,541
Chain1,20625,225
Chain2,20631,131
Chain3,20639,159
Chain1,20688,208
Chain4,20722,562
Chain2,20729,129
Chain3,20774,134
Chain1,20790,230
Chain2,20797,97
Chain4,20800,520
Chain1,20850,210
Chain2,20891,91
Chain3,20967,167
Chain1,21000,280
Chain4,21003,603
Chain1,21072,272
Chain2,21092,192
Chain4,21133,613
Chain1,21171,291
Chain2,21195,195
Chain1,21227,267
Chain3,21264,304
Chain4,21267,627
Chain2,21273,173
Chain1,21294,254
Chain4,21335,575
Chain1,21358,238
Chain2,21388,188
Chain3,21435,315
Chain1,21455,255
Chain4,21458,578
Chain2,21500,200
Chain1,21539,259
Chain3,21558,278
Chain4,21561,561
Chain2,21567,167
Chain1,21618,258
Chain2,21642,142
Chain1,21666,226
Chain3,21674,234
Chain4,21729,609
Chain1,21754,234
Chain2,21766,166
Chain4,21793,553
Chain1,21830,230
Chain2,21861,161
Chain3,21869,269
Chain1,21924,244
Chain4,21926,566
Chain2,21944,144
Chain3,21980,220
Chain1,21996,236
Chain4,22033,553
Chain2,22040,140
Chain1,22056,216
Chain2,22116,116
Chain1,22136,216
Chain4,22152,552
Chain3,22160,240
Chain1,22224,224
Chain2,22241,141
Chain3,22249,169
Chain4,22274,554
Chain1,22290,210
Chain2,22328,128
Chain3,22351,111
Chain1,22390,230
Chain4,22393,553
Chain2,22400,100
Chain1,22444,204
Chain2,22496,96
Chain3,22563,163
Chain4,22565,605
Chain1,22596,276
Chain1,22672,272
Chain4,22688,608
Chain2,22720,220
Chain1,22764,284
Chain4,22773,573
Chain2,22798,198
Chain1,22843,283
Chain3,22867,307
Chain2,22873,173
Chain1,22893,253
Chain4,22935,615
Chain1,22970,250
Chain2,23027,227
Chain4,23029,589
Chain3,23037,317
Chain1,23068,268
Chain2,23081,181
Chain1,23134,254
Chain4,23152,592
Chain3,23160,280
Chain2,23177,177
Chain1,23236,276
Chain4,23246,566
Chain2,23252,152
Chain1,23268,228
Chain3,23339,299
Chain1,23355,235
Chain2,23366,166
Chain4,23369,569
Chain1,23430,230
Chain3,23459,259
Chain2,23469,169
Chain4,23489,569
Chain1,23533,253
Chain2,23553,153
Chain3,23562,202
Chain1,23596,236
Chain4,23633,593
Chain2,23639,139
Chain1,23666,226
Chain4,23697,537
Chain3,23726,206
Chain1,23742,222
Chain2,23760,160
Chain1,23834,234
Chain4,23837,557
Chain2,23848,148
Chain3,23856,176
Chain1,23900,220
Chain2,23941,141
Chain4,23944,544
Chain1,23985,225
Chain2,23991,91
Chain3,23999,159
Chain1,24044,204
Chain2,24093,93
Chain3,24164,164
Chain4,24167,647
Chain1,24202,282
Chain1,24262,262
Chain2,24292,192
Chain1,24351,271
Chain4,24354,714
Chain2,24377,177
Chain1,24431,271
Chain3,24454,294
Chain4,24456,696
Chain2,24463,163
Chain1,24479,239
Chain1,24555,235
Chain4,24571,691
Chain2,24578,178
Chain3,24586,266
Chain1,24649,249
Chain2,24669,169
Chain4,24689,689
Chain1,24726,246
Chain3,24758,278
Chain2,24765,165
Chain1,24799,239
Chain4,24833,713
Chain2,24839,139
Chain1,24866,226
Chain3,24926,286
Chain4,24929,689
Chain1,24945,225
Chain2,24952,152
Chain3,24999,199
Chain1,25036,236
Chain4,25052,692
Chain2,25059,159
Chain1,25124,244
Chain2,25137,137
Chain4,25144,664
Chain3,25170,210
Chain1,25186,226
Chain2,25227,127
Chain1,25260,220
Chain3,25268,148
Chain4,25293,693
Chain1,25328,208
Chain2,25358,158
Chain4,25388,668
Chain1,25424,224
Chain2,25431,131
Chain3,25439,159
Chain1,25488,208
Chain4,25522,682
Chain2,25529,129
Chain1,25582,222
Chain3,25590,150
Chain2,25597,97
Chain4,25599,639
Chain1,25637,197
Chain2,25702,102
Chain3,25762,162
Chain1,25800,280
Chain4,25803,723
Chain1,25872,272
Chain2,25892,192
Chain4,25945,745
Chain1,25971,291
Chain2,25995,195
Chain1,26027,267
Chain3,26064,304
Chain4,26067,747
Chain2,26073,173
Chain1,26094,254
Chain4,26135,695
Chain1,26158,238
Chain2,26227,227
Chain3,26235,315
Chain1,26255,255
Chain4,26258,698
Chain2,26271,171
Chain1,26339,259
Chain3,26358,278
Chain4,26361,681
Chain2,26367,167
Chain1,26426,266
Chain2,26442,142
Chain1,26466,226
Chain3,26520,280
Chain4,26523,723
Chain1,26555,235
Chain2,26566,166
Chain4,26593,673
Chain1,26630,230
Chain3,26662,262
Chain2,26669,169
Chain1,26724,244
Chain4,26726,686
Chain2,26744,144
Chain3,26780,220
Chain1,26796,236
Chain4,26833,673
Chain2,26840,140
Chain1,26856,216
Chain3,26918,198
Chain2,26924,124
Chain1,26947,227
Chain4,26960,680
Chain1,27024,224
Chain2,27031,131
Chain3,27039,159
Chain4,27074,674
Chain1,27090,210
Chain2,27129,129
Chain1,27182,222
Chain4,27185,665
Chain2,27192,92
Chain3,27200,160
Chain1,27244,204
Chain2,27303,103
Chain3,27362,162
Chain4,27365,725
Chain1,27396,276
Chain1,27472,272
Chain4,27488,728
Chain2,27520,220
Chain1,27564,284
Chain4,27573,693
Chain1,27627,267
Chain2,27659,259
Chain3,27667,307
Chain2,27673,173
Chain1,27694,254
Chain4,27735,735
Chain1,27771,251
Chain2,27827,227
Chain4,27830,710
Chain3,27838,318
Chain1,27868,268
Chain2,27881,181
Chain1,27936,256
Chain4,27952,712
Chain3,27960,280
Chain2,27977,177
Chain1,28032,272
Chain4,28046,686
Chain2,28052,152
Chain1,28069,229
Chain3,28139,299
Chain1,28155,235
Chain4,28158,678
Chain2,28169,169
Chain1,28230,230
Chain3,28260,260
Chain2,28269,169
Chain4,28289,689
Chain1,28333,253
Chain2,28354,154
Chain3,28362,202
Chain1,28396,236
Chain4,28433,713
Chain2,28440,140
Chain1,28466,226
Chain4,28498,658
Chain3,28526,206
Chain1,28543,223
Chain2,28560,160
Chain1,28635,235
Chain4,28637,677
Chain2,28648,148
Chain3,28656,176
Chain1,28701,221
Chain2,28741,141
Chain4,28744,664
Chain1,28785,225
Chain2,28792,92
Chain3,28800,160
Chain1,28843,203
Chain2,28892,92
Chain3,28964,164
Chain4,28967,767
Chain1,29003,283
Chain1,29074,274
Chain2,29092,192
Chain1,29151,271
Chain4,29154,834
Chain2,29195,195
Chain1,29231,271
Chain3,29254,294
Chain4,29256,816
Chain2,29263,163
Chain1,29279,239
Chain1,29355,235
Chain4,29371,811
Chain2,29378,178
Chain3,29386,266
Chain1,29451,251
Chain2,29468,168
Chain4,29489,809
Chain1,29526,246
Chain3,29558,278
Chain2,29564,164
Chain1,29599,239
Chain4,29633,833
Chain2,29639,139
Chain1,29666,226
Chain3,29726,286
Chain4,29729,809
Chain1,29745,225
Chain2,29751,151
Chain3,29799,199
Chain1,29835,235
Chain4,29852,812
Chain2,29858,158
Chain1,29924,244
Chain2,29941,141
Chain4,29944,784
Chain3,29970,210
Chain1,29986,226
Chain2,30019,119
Chain1,30060,220
Chain3,30068,148
Chain4,30093,813
Chain1,30127,207
Chain2,30158,158
Chain4,30181,781
Chain1,30224,224
Chain2,30231,131
Chain3,30239,159
Chain1,30287,207
Chain4,30320,800
Chain2,30327,127
Chain3,30346,106
Chain1,30390,230
Chain4,30393,753
Chain2,30399,99
Chain1,30443,203
Chain2,30494,94
Chain3,30563,163
Chain1,30600,280
Chain4,30603,843
Chain1,30658,258
Chain2,30692,192
Chain4,30733,853
Chain1,30771,291
Chain2,30777,177
Chain1,30827,267
Chain3,30862,302
Chain4,30867,867
Chain2,30873,173
Chain1,30894,254
Chain4,30942,822
Chain1,30958,238
Chain2,31027,227
Chain3,31035,315
Chain1,31055,255
Chain4,31058,818
Chain2,31071,171
Chain1,31139,259
Chain3,31158,278
Chain4,31161,801
Chain2,31167,167
Chain1,31227,267
Chain2,31241,141
Chain1,31266,226
Chain3,31324,284
Chain4,31327,847
Chain1,31355,235
Chain2,31366,166
Chain4,31393,793
Chain1,31430,230
Chain3,31462,262
Chain2,31469,169
Chain1,31524,244
Chain4,31526,806
Chain2,31544,144
Chain1,31588,228
Chain3,31624,264
Chain2,31637,137
Chain4,31640,800
Chain1,31663,223
Chain3,31717,197
Chain2,31724,124
Chain1,31746,226
Chain4,31760,800
Chain1,31824,224
Chain2,31831,131
Chain3,31839,159
Chain4,31874,794
Chain1,31890,210
Chain2,31929,129
Chain1,31982,222
Chain4,31985,785
Chain2,31991,91
Chain3,31999,159
Chain1,32057,217
Chain2,32090,90
Chain3,32163,163
Chain4,32165,845
Chain1,32196,276
Chain1,32272,272
Chain4,32287,847
Chain2,32305,205
Chain1,32371,291
Chain4,32373,813
Chain2,32380,180
Chain3,32388,228
Chain1,32456,296
Chain1,32487,247
Chain2,32494,194
