Chain,RecordTime,Frequency
Chain1,10816,13.0681
Chain4,10868,7.85376
Chain2,10871,10.2955
Chain1,10885,13.576
Chain4,10970,8.92522
Chain1,10973,13.4913
Chain2,10989,9.70876
Chain3,10996,6.83941
Chain1,11057,12.4412
Chain4,11084,8.36915
Chain2,11087,9.70794
Chain3,11100,7.44252
Chain1,11149,11.3504
Chain2,11176,9.84357
Chain4,11182,9.55093
Chain1,11216,12.3519
Chain2,11282,10.2363
Chain3,11342,5.44019
Chain1,11369,9.5952
Chain4,11386,7.21998
Chain1,11445,10.1504
Chain2,11483,7.5711
Chain4,11531,6.71646
Chain1,11540,9.2483
Chain2,11589,7.26232
Chain3,11595,5.003
Chain1,11618,12.0579
Chain4,11664,6.22964
Chain2,11666,7.80471
Chain1,11673,13.1329
Chain4,11732,8.65151
Chain1,11742,14.8728
Chain2,11800,9.47236
Chain3,11827,4.12646
Chain1,11835,13.8402
Chain4,11855,9.24222
Chain2,11865,10.87
Chain1,11900,13.2468
Chain3,11950,4.93808
Chain4,11958,10.2001
Chain2,11961,10.2
Chain1,11985,12.3216
Chain2,12033,12.8485
Chain1,12041,14.5555
Chain3,12098,5.97289
Chain4,12126,7.61754
Chain1,12129,13.0807
Chain2,12155,10.3191
Chain4,12191,8.94071
Chain1,12194,14.4025
Chain3,12254,7.02387
Chain2,12262,9.94742
Chain1,12287,12.2087
Chain4,12316,8.38501
Chain2,12325,10.2793
Chain3,12344,7.61584
Chain1,12380,11.9395
Chain4,12428,9.92586
Chain2,12431,10.8793
Chain1,12438,12.2832
Chain3,12493,7.58802
Chain1,12518,12.9906
Chain2,12551,10.3804
Chain4,12558,8.17486
Chain1,12588,14.4669
Chain2,12624,10.0195
Chain3,12631,7.95957
Chain4,12672,8.43132
Chain1,12674,12.6897
Chain2,12722,10.3091
Chain3,12766,7.10458
Chain1,12774,11.7036
Chain4,12790,8.29153
Chain2,12793,12.4083
Chain1,12820,12.9249
Chain2,12885,11.535
Chain4,12955,7.54634
Chain1,12958,10.567
Chain3,12974,6.23281
Chain1,13041,11.2527
Chain4,13083,7.29008
Chain2,13086,8.2516
Chain1,13150,9.07122
Chain4,13171,7.88605
Chain2,13191,7.52956
Chain3,13198,5.29151
Chain1,13221,11.409
Chain2,13267,7.85302
Chain1,13273,12.9052
Chain4,13332,7.96276
Chain1,13348,15.2107
Chain2,13399,9.56186
Chain3,13427,4.54091
Chain4,13435,8.52944
Chain1,13437,13.8631
Chain2,13475,10.5905
Chain1,13499,13.2663
Chain4,13550,7.91667
Chain3,13552,5.18988
Chain2,13560,10.2135
Chain1,13595,12.1177
Chain4,13643,9.65485
Chain2,13646,12.1906
Chain1,13652,13.9679
Chain3,13725,5.69599
Chain1,13735,12.7199
Chain4,13755,9.36895
Chain2,13758,10.6014
Chain1,13793,15.158
Chain3,13851,7.06545
Chain2,13859,10.0295
Chain4,13886,8.90793
Chain1,13896,12.3188
Chain2,13933,10.4488
Chain3,13950,7.54327
Chain1,13980,12.2655
Chain4,14030,7.74798
Chain2,14033,10.9049
Chain1,14039,12.1804
Chain4,14095,8.83118
Chain1,14097,14.8815
Chain2,14145,10.4916
Chain3,14152,7.02157
Chain1,14197,13.7913
Chain4,14234,8.62926
Chain2,14237,9.86328
Chain3,14248,7.57234
Chain1,14274,12.8074
Chain2,14322,10.3642
Chain4,14341,9.6504
Chain1,14368,11.0712
Chain3,14385,6.90481
Chain2,14392,12.1394
Chain1,14420,13.4902
Chain2,14485,12.0669
Chain4,14553,6.54886
Chain3,14555,7.43558
Chain1,14579,9.83901
Chain1,14633,11.3257
Chain2,14685,8.25805
Chain1,14731,9.64048
Chain4,14751,5.8016
Chain2,14789,7.56978
Chain1,14795,13.8312
Chain3,14846,5.01553
Chain4,14854,5.85052
Chain2,14856,8.08721
Chain1,14863,13.0532
Chain1,14934,14.7544
Chain4,14969,7.21492
Chain2,14971,10.4984
Chain3,14978,5.05561
Chain1,15025,13.0957
Chain2,15080,10.3072
Chain4,15086,8.94817
Chain1,15089,13.2695
Chain3,15147,5.06715
Chain2,15158,9.95223
Chain1,15182,12.082
Chain4,15230,7.96938
Chain2,15233,11.4684
Chain1,15239,13.9576
Chain3,15297,6.64251
Chain4,15326,8.39198
Chain1,15329,12.5201
Chain2,15345,11.3166
Chain3,15391,7.26763
Chain1,15399,13.8778
Chain4,15449,8.27469
Chain2,15452,10.2096
Chain1,15476,12.6645
Chain2,15530,10.0846
Chain4,15537,9.77214
Chain3,15562,7.24169
Chain1,15570,12.4466
Chain2,15597,11.9
Chain1,15627,13.1168
Chain3,15660,8.27544
Chain4,15690,8.24138
Chain1,15693,13.8639
Chain2,15747,10.1743
Chain4,15785,8.93356
Chain1,15787,13.7779
Chain2,15818,10.4166
Chain3,15825,6.90825
Chain1,15871,12.295
Chain4,15899,8.29863
Chain2,15918,9.34714
Chain3,15956,7.61377
Chain1,15974,10.666
Chain2,15990,12.3087
Chain4,15997,9.77805
Chain1,16016,13.1475
Chain2,16082,11.3667
Chain1,16154,10.6302
Chain3,16177,5.80412
Chain4,16200,7.22602
Chain1,16245,11.0838
Chain2,16285,8.1658
Chain4,16331,6.94258
Chain1,16333,9.44085
Chain2,16389,7.52892
Chain1,16395,12.4086
Chain4,16456,6.53504
Chain3,16459,4.73439
Chain2,16467,7.80597
Chain1,16473,13.1276
Chain4,16532,9.03139
Chain1,16542,14.4176
Chain2,16599,9.55249
Chain3,16627,4.47082
Chain1,16635,12.5325
Chain4,16655,9.25021
Chain2,16664,10.8799
Chain1,16699,13.2658
Chain3,16750,5.23586
Chain4,16758,9.94143
Chain2,16760,10.2105
Chain1,16785,12.3199
Chain2,16833,12.8479
Chain1,16840,14.6472
Chain3,16897,6.83807
Chain4,16926,7.61715
Chain1,16929,13.0806
Chain2,16955,10.3202
Chain4,16991,8.94009
Chain1,16993,14.4029
Chain3,17054,7.02303
Chain2,17062,9.94772
Chain1,17087,12.1424
Chain4,17124,8.20192
Chain2,17133,10.0028
Chain3,17162,7.28272
Chain1,17180,11.9418
Chain2,17228,10.9868
Chain4,17235,9.71373
Chain1,17238,12.2859
Chain3,17280,7.83101
Chain2,17301,12.5729
Chain1,17326,12.5283
Chain4,17357,8.17896
Chain1,17387,14.4754
Chain2,17424,10.3018
Chain3,17431,7.9633
Chain4,17471,8.6295
Chain1,17474,12.6961
Chain2,17522,10.2209
Chain1,17566,12.5125
Chain3,17582,7.13715
Chain4,17590,8.44808
Chain2,17593,10.2721
Chain1,17620,12.9026
Chain2,17673,12.0444
Chain3,17751,6.38168
Chain4,17777,7.15782
Chain1,17779,9.82068
Chain1,17831,11.305
Chain2,17882,8.32353
Chain4,17902,6.96047
Chain1,17951,9.06581
Chain4,17971,7.87579
Chain3,17974,5.52614
Chain2,18000,7.37272
Chain1,18021,12.4004
Chain2,18067,7.62209
Chain1,18073,12.3889
Chain4,18132,8.43272
Chain1,18148,15.2118
Chain2,18200,9.44855
Chain3,18227,4.65109
Chain4,18235,9.0136
Chain1,18238,13.8607
Chain2,18275,10.8955
Chain1,18300,13.2645
Chain4,18350,7.91651
Chain3,18352,4.98371
Chain2,18360,10.2125
Chain1,18395,12.1157
Chain4,18443,9.65386
Chain2,18446,12.1902
Chain1,18452,13.967
Chain3,18525,5.4399
Chain1,18539,12.5212
Chain4,18555,9.36387
Chain2,18558,10.5951
Chain1,18593,15.1462
Chain3,18652,7.06264
Chain2,18660,10.024
Chain4,18687,8.90335
Chain1,18696,12.3122
Chain2,18733,10.4439
Chain3,18750,7.53759
Chain1,18780,12.4485
Chain4,18830,7.74449
Chain2,18833,10.9044
Chain1,18840,12.1793
Chain4,18895,8.8305
Chain1,18898,14.874
Chain2,18946,10.4891
Chain3,18952,7.0197
Chain1,18998,13.785
Chain4,19035,8.6249
Chain2,19037,9.8594
Chain3,19048,7.57087
Chain1,19074,12.8036
Chain2,19132,10.022
Chain4,19142,9.64462
Chain1,19169,11.0676
Chain2,19185,12.5394
Chain3,19192,6.80022
Chain1,19220,13.5184
Chain2,19284,12.1497
Chain4,19353,6.5538
Chain3,19355,7.44266
Chain1,19367,10.2571
Chain1,19445,10.8558
Chain2,19485,8.49812
Chain1,19531,9.63774
Chain4,19551,5.80597
Chain2,19589,7.42796
Chain1,19596,13.1005
Chain3,19646,5.01773
Chain4,19654,5.85466
Chain2,19657,8.05599
Chain1,19663,13.7588
Chain1,19738,14.4567
Chain4,19769,7.21095
Chain2,19772,10.4882
Chain3,19778,5.11479
Chain1,19823,13.2092
Chain2,19862,10.9829
Chain4,19887,8.94533
Chain1,19889,13.268
Chain3,19944,5.09976
Chain2,19958,9.95225
Chain1,19983,12.2816
Chain4,20030,7.96834
Chain2,20033,11.4698
Chain1,20040,13.8236
Chain3,20098,6.6412
Chain4,20120,8.53891
Chain1,20129,12.5175
Chain2,20145,10.5947
Chain3,20191,7.26768
Chain1,20199,13.8753
Chain4,20249,8.27369
Chain2,20252,10.2063
Chain1,20277,12.6624
Chain2,20328,10.1896
Chain4,20337,9.77842
Chain3,20344,7.49461
Chain1,20370,12.4474
Chain2,20397,11.9001
Chain1,20439,12.4917
Chain3,20478,7.88423
Chain4,20490,8.10551
Chain2,20493,12.4478
Chain1,20500,13.451
Chain4,20578,9.1167
Chain1,20588,13.7802
Chain2,20625,10.0975
Chain3,20631,6.81347
Chain1,20672,12.8978
Chain4,20699,8.29365
Chain2,20722,9.23147
Chain3,20756,7.28204
Chain1,20774,10.9261
Chain2,20790,10.0855
Chain4,20797,9.77896
Chain1,20816,13.1613
Chain2,20884,11.5501
Chain3,20942,6.46103
Chain1,20967,10.153
Chain4,21000,7.1135
Chain1,21045,11.0884
Chain2,21083,8.31511
Chain4,21131,6.94611
Chain1,21150,8.96057
Chain2,21189,7.53135
Chain1,21195,13.1443
Chain3,21256,4.80195
Chain4,21264,6.42582
Chain2,21267,7.84766
Chain1,21273,13.1313
Chain4,21330,9.09114
Chain1,21342,15.698
Chain2,21382,10.0503
Chain3,21427,4.47163
Chain1,21435,12.529
Chain4,21455,9.24905
Chain2,21493,9.86342
Chain1,21500,13.256
Chain3,21550,4.93826
Chain4,21558,10.2053
Chain2,21561,10.2052
Chain1,21585,12.314
Chain2,21625,12.3177
Chain1,21642,14.5134
Chain3,21666,7.3173
Chain4,21726,7.57508
Chain1,21729,13.0894
Chain2,21754,11.4805
Chain4,21791,8.9393
Chain1,21793,14.4058
Chain2,21854,10.2196
Chain3,21861,6.91367
Chain1,21887,12.2323
Chain4,21924,8.20145
Chain2,21933,9.74302
Chain3,21972,7.10594
Chain1,21980,11.9348
Chain4,22030,9.85784
Chain2,22033,10.757
Chain1,22040,12.179
Chain2,22095,12.4516
Chain1,22116,13.0717
Chain4,22150,8.35759
Chain3,22152,6.16775
Chain1,22187,14.474
Chain2,22224,10.2997
Chain3,22241,7.89035
Chain4,22271,8.62905
Chain1,22274,12.806
Chain2,22316,10.6185
Chain3,22335,8.2777
Chain1,22374,11.6366
Chain4,22390,8.33669
Chain2,22393,10.0713
Chain1,22428,12.4889
Chain2,22472,12.0921
Chain3,22542,7.69146
Chain4,22563,7.26266
Chain1,22580,9.81769
Chain1,22639,11.3375
Chain4,22685,7.24701
Chain2,22688,8.0566
Chain1,22744,9.49148
Chain4,22771,7.88764
Chain2,22791,7.53101
Chain1,22798,13.7389
Chain3,22859,4.85798
Chain2,22867,7.611
Chain1,22873,12.7947
Chain4,22932,8.12353
Chain1,22952,14.4173
Chain2,22999,9.63458
Chain4,23027,8.78719
